date,cases,deaths,suspectedcases,hospitalized,UTI,totalUTIoccupation,publicUTIoccupation,privateUTIoccupation,vaccinedoses,firstdosepercent
14/09/2021,51410,2086,1480,60,36,26,25,28,607008,82.4
15/09/2021,51539,2091,1482,55,31,24,27,20,610627,82.6
16/09/2021,51592,2093,1485,58,39,28,29,28,616280,82.9
17/09/2021,51650,2095,1484,65,39,29,29,28,621718,83.2
18/09/2021,51678,2095,1484,62,37,26,26,27,626837,83.6
19/09/2021,51707,2095,1484,69,35,26,25,28,627652,83.7
20/09/2021,51779,2102,1485,58,30,24,23,26,630440,83.8
21/09/2021,51818,2108,1481,61,29,22,21,24,633861,84.0
22/09/2021,51898,2112,1486,53,28,21,20,21,636962,84.2
23/09/2021,51931,2114,1490,53,28,19,20,19,641432,84.4
24/09/2021,52000,2116,1484,54,31,22,22,23,645527,84.5
25/09/2021,52079,2116,1484,49,24,22,24,19,647887,84.6
26/09/2021,52108,2116,1484,51,25,22,25,18,648363,84.6
27/09/2021,52167,2117,1484,47,26,23,26,20,650878,84.7
28/09/2021,52200,2119,1481,47,26,22,24,20,654033,84.8
29/09/2021,52249,2120,1484,46,23,19,22,15,657642,84.8
30/09/2021,52352,2122,1478,46,20,19,24,14,661219,84.9
01/10/2021,52425,2125,1466,49,24,20,22,18,664060,85.1
02/10/2021,52521,2125,1466,45,24,20,22,17,666969,85.2
03/10/2021,52530,2125,1466,43,21,18,21,16,667608,85.3
04/10/2021,52590,2127,1465,39,20,18,22,14,668881,85.3
05/10/2021,52658,2127,1464,37,18,21,24,17,670791,85.4
06/10/2021,52718,2128,1456,33,19,20,24,15,674603,85.5
07/10/2021,52768,2128,1460,32,18,18,21,15,678396,85.5
08/10/2021,52815,2128,1455,34,20,19,22,16,682136,85.6
09/10/2021,52891,2128,1455,32,17,20,28,10,685321,85.7
10/10/2021,52948,2128,1455,33,16,19,25,12,685840,85.7
11/10/2021,53009,2128,1454,35,18,20,25,15,686057,85.7
12/10/2021,53043,2128,1454,34,19,19,24,14,686285,85.7
13/10/2021,53097,2129,1462,32,20,20,21,20,688290,85.7
14/10/2021,53153,2131,1457,33,21,18,20,17,691492,85.7
15/10/2021,53205,2132,1456,36,22,17,19,16,694003,85.8
16/10/2021,53271,2132,1456,37,22,19,19,20,695363,85.8
17/10/2021,53327,2132,1456,40,20,19,18,20,695898,85.8
18/10/2021,53386,2132,1456,40,20,19,18,20,698157,85.8
19/10/2021,53431,2132,1453,41,20,19,17,21,701390,85.9
20/10/2021,53504,2132,1452,38,21,19,17,22,704402,85.9
21/10/2021,53537,2135,1435,45,29,21,28,25,708238,86.0
22/10/2021,53612,2136,1450,39,24,19,19,19,711628,86.0
23/10/2021,53647,2136,1450,40,20,15,14,17,714617,86.0
24/10/2021,53704,2136,1450,39,19,16,13,19,714991,86.0
25/10/2021,53770,2137,1453,42,21,21,20,22,717820,86.1
26/10/2021,53805,2138,1451,37,22,22,23,21,722240,86.1
27/10/2021,53849,2140,1449,39,29,26,26,26,724309,86.1
28/10/2021,53893,2141,1444,41,25,24,23,26,727311,86.1
29/10/2021,53996,2142,1422,39,21,20,19,22,731149,86.2
30/10/2021,54079,2142,1417,34,21,20,18,23,736941,86.2
31/10/2021,54103,2142,1417,29,20,19,18,21,739065,86.2
01/11/2021,54138,2142,1417,38,23,24,27,23,739363,86.2
02/11/2021,54171,2142,1417,36,21,23,24,22,739754,86.2
03/11/2021,54220,2142,1417,37,20,23,26,21,741770,86.3
04/11/2021,54269,2143,1378,38,22,36,34,38,744510,86.3
05/11/2021,54350,2146,1362,32,18,32,34,30,748243,86.4
06/11/2021,54419,2146,1362,28,17,31,31,30,755582,86.4
07/11/2021,54458,2146,1362,31,17,32,34,30,756824,86.4
08/11/2021,54520,2148,1355,31,17,31,34,28,759070,86.4
09/11/2021,54609,2151,1353,25,14,30,31,29,762269,86.5
10/11/2021,54643,2154,1350,24,13,27,27,26,765437,86.5
11/11/2021,54711,2157,1347,24,15,27,26,28,768478,86.5
12/11/2021,54752,2158,1347,25,14,27,26,28,,
13/11/2021,54837,2158,1347,28,12,27,26,29,,
14/11/2021,54862,2158,1347,31,17,31,26,37,,
15/11/2021,54904,2158,1347,30,18,32,27,37,,
16/11/2021,54972,2161,1352,35,17,31,32,30,,
17/11/2021,55040,2162,1353,34,15,29,32,26,,
18/11/2021,55096,2162,1352,35,15,27,29,24,,
19/11/2021,55171,2162,1352,39,15,25,26,25,,
20/11/2021,55263,2162,1352,35,14,24,24,25,,
21/11/2021,55269,2162,1352,31,14,20,19,22,,
22/11/2021,55306,2163,1351,36,18,29,24,29,,
23/11/2021,55358,2164,1350,38,19,30,26,36,,
24/11/2021,55431,2166,1349,34,19,28,22,37,,
25/11/2021,55485,2166,1348,32,20,30,24,39,,
26/11/2021,55536,2166,1348,32,16,26,21,32,,
27/11/2021,55567,2166,1349,30,14,27,22,34,,
28/11/2021,55601,2166,1349,33,16,30,25,38,,
29/11/2021,55686,2168,1352,29,18,32,25,42,,
30/11/2021,55776,2169,1354,33,16,34,21,50,,
01/12/2021,55799,2169,1356,30,16,32,23,40,,
02/12/2021,55824,2169,1356,32,16,34,23,45,,
03/12/2021,55855,2172,1356,34,15,32,21,42,,
04/12/2021,55887,2173,1354,32,13,29,23,35,,
05/12/2021,55917,2173,1350,30,14,33,27,38,,
06/12/2021,55946,2175,1353,34,18,34,33,36,,
07/12/2021,55977,2175,1356,27,15,31,29,34,,
08/12/2021,55996,2176,1356,24,15,27,29,34,,
09/12/2021,56015,2179,1356,22,14,26,25,28,,
10/12/2021,56070,2180,1359,21,13,26,27,25,,
11/12/2021,56159,2180,1357,19,11,23,23,22,,
12/12/2021,56171,2180,1357,23,10,23,21,25,,
13/12/2021,56176,2180,26,29,14,28,25,31,,
14/12/2021,56214,2180,25,32,17,27,25,30,,
15/12/2021,56227,2181,25,35,17,28,31,28,,
16/12/2021,56245,2181,26,31,16,25,27,23,,
17/12/2021,56254,2181,26,33,16,27,29,25,,
18/12/2021,56256,2181,26,41,17,31,36,27,,
19/12/2021,56256,2181,26,39,17,30,36,25,,
20/12/2021,56281,2181,31,33,15,30,36,25,,
21/12/2021,56315,2181,31,31,15,27,33,21,,
22/12/2021,56355,2183,47,31,14,27,33,22,,
23/12/2021,56361,2183,56,21,11,25,31,20,,
24/12/2021,56369,2183,49,33,14,29,33,26,,
25/12/2021,56376,2183,42,28,14,30,48,17,,
26/12/2021,56382,2183,42,36,17,36,40,32,,
27/12/2021,56412,2183,43,36,21,38,45,33,,
28/12/2021,56446,2190,43,39,24,44,52,39,,
29/12/2021,56484,2244,48,42,25,44,57,34,,
30/12/2021,56501,2253,48,38,21,36,38,35,,
31/12/2021,56502,2253,49,42,24,34,36,33,,
01/01/2022,56502,2253,49,43,29,38,43,33,,
02/01/2022,56502,2253,49,43,22,36,45,29,,
03/01/2022,56520,2260,52,44,18,39,45,34,,
04/01/2022,56541,2278,58,47,19,42,50,36,,
05/01/2022,56563,2281,57,43,20,44,57,34,,
